id,V1,V2,length
128,54,163,981.6110000000001
129,56,531,444.677
130,56,57,806.619
131,56,533,1159.491
132,57,535,2213.067
133,57,531,372.32500000000005
134,58,533,79.394
135,58,60,707.054
136,58,71,396.048
137,59,60,546.792
138,59,204,245.80300000000003
139,60,360,1132.306
140,61,220,202.542
141,61,219,479.75199999999995
142,62,135,437.57800000000003
143,62,543,1221.457
144,62,471,2175.426
145,63,473,382.036
146,63,295,2091.9310000000005
147,64,375,775.54
148,64,507,755.7159999999999
149,65,161,406.586
150,66,123,247.79
151,66,292,541.851
152,66,579,788.254
153,67,453,196.882
154,67,330,892.798
155,68,95,495.137
156,68,167,1155.584
157,69,691,114.737
158,69,679,666.077
159,69,681,333.258
160,70,205,554.248
161,70,687,107.414
162,70,592,168.574
163,71,94,647.822
164,71,193,815.7899999999998
165,72,92,1055.824
166,72,374,1074.0729999999999
167,73,482,258.353
168,73,74,55.477
169,74,102,374.942
170,75,582,398.0830000000001
171,75,88,288.249
172,76,601,767.293
173,76,119,488.96799999999996
174,76,588,116.37400000000001
175,77,78,135.317
176,77,157,388.168
177,77,630,24.288
178,78,157,491.821
179,79,439,713.179
180,79,566,486.91599999999994
181,80,287,1487.486
182,80,550,258.45
183,81,330,941.427
184,81,148,626.437
185,82,686,20.68
186,82,500,1076.621
187,82,525,687.798
188,83,188,299.336
189,83,591,850.9129999999999
190,83,501,203.68
191,84,139,853.678
192,84,108,354.462
193,85,316,19.743
194,85,296,434.01300000000003
195,86,87,352.934
196,86,123,1647.0049999999999
197,87,471,220.792
198,88,358,55.509
199,89,561,180.93
200,89,90,87.194
201,90,445,338.266
202,91,576,252.08999999999997
203,91,619,401.69499999999994
204,92,107,696.3230000000001
205,93,585,368.36500000000007
206,93,436,294.084
207,93,512,431.217
208,94,95,927.8340000000001
209,94,517,161.043
210,95,688,206.63
211,96,501,218.19299999999998
212,96,109,157.338
213,97,690,267.28
214,97,114,267.62899999999996
215,98,603,497.601
216,98,128,943.368
217,98,570,183.111
218,99,606,253.021
219,99,689,1229.211
220,99,442,393.433
221,100,142,124.722
222,100,101,209.693
223,101,690,809.663
224,102,483,298.57
225,103,486,313.589
226,103,104,195.364
227,104,105,83.394
228,105,484,277.499
229,106,454,600.5580000000001
230,106,664,742.385
231,106,117,285.976
232,108,628,24.734
233,109,157,835.704
234,109,687,811.6870000000004
235,110,111,649.841
236,110,131,318.683
237,111,520,468.71400000000006
238,111,502,887.732
239,112,212,251.007
240,112,122,41.969
241,113,436,270.337
242,113,242,553.6919999999999
243,113,256,1046.5169999999998
244,114,222,332.724
245,115,525,205.774
246,115,194,1252.001
247,116,392,248.699
248,116,320,704.8969999999998
249,116,339,917.6589999999999
250,117,658,73.109
251,118,634,889.1469999999999
252,118,603,958.183
253,119,553,381.906
254,119,666,704.11
255,120,217,52.552
256,120,219,340.285
257,121,159,272.78
258,122,217,279.32400000000007
259,122,613,261.207
260,123,366,431.7699999999999
261,125,647,17.911
262,125,636,1090.2650000000003
263,126,230,534.946
264,126,154,286.96299999999997
265,127,209,1328.0519999999997
266,127,208,737.959
267,128,572,237.767
268,128,156,649.524
269,129,134,616.129
270,129,130,496.509
271,131,591,38.406
272,132,594,1024.731
273,132,136,870.212
274,133,587,192.878
275,134,478,562.559
276,135,144,160.065
277,136,364,425.45500000000004
278,136,652,659.6560000000001
279,137,322,427.651
280,137,285,347.356
281,138,264,414.427
282,138,273,383.262
283,139,506,524.859
284,140,212,434.77000000000004
285,140,614,266.796
286,141,388,358.73800000000006
287,141,599,593.818
288,142,379,871.5609999999999
289,143,628,338.508
290,143,505,746.067
291,144,543,623.617
292,145,652,320.34499999999997
293,145,366,730.7280000000001
294,145,379,474.08900000000006
295,146,483,996.676
296,146,288,1472.054
297,146,556,135.685
298,147,445,339.31100000000004
299,147,658,1222.853
300,147,480,1059.675
301,148,482,191.13
302,148,483,1176.972
303,149,251,288.81500000000005
304,149,575,696.4290000000001
305,149,576,383.622
306,150,422,488.058
307,150,409,1419.5359999999996
308,150,415,137.172
309,151,152,702.12
310,151,420,1051.5790000000002
311,152,284,2076.541
312,153,233,692.427
313,153,524,1244.8999999999999
314,154,223,909.8100000000002
315,154,432,417.073
316,155,156,443.712
317,155,228,593.203
318,155,605,291.488
319,156,571,290.28499999999997
320,158,629,378.465
321,159,211,392.969
322,160,490,861.095
323,162,347,246.89000000000001
324,162,348,1032.087
325,162,354,856.5129999999999
326,163,164,257.899
327,165,590,389.63
328,166,686,853.6560000000001
329,167,517,540.252
330,168,173,187.67000000000002
331,168,481,955.034
